seccion,clave,valor
Tipos de contenido,Movie,6131.0
Tipos de contenido,TV Show,2676.0
Títulos por año de lanzamiento,1925,1.0
Títulos por año de lanzamiento,1942,2.0
Títulos por año de lanzamiento,1943,3.0
Títulos por año de lanzamiento,1944,3.0
Títulos por año de lanzamiento,1945,4.0
Títulos por año de lanzamiento,1946,2.0
Títulos por año de lanzamiento,1947,1.0
Títulos por año de lanzamiento,1954,2.0
Títulos por año de lanzamiento,1955,3.0
Títulos por año de lanzamiento,1956,2.0
Títulos por año de lanzamiento,1958,3.0
Títulos por año de lanzamiento,1959,1.0
Títulos por año de lanzamiento,1960,4.0
Títulos por año de lanzamiento,1961,1.0
Títulos por año de lanzamiento,1962,3.0
Títulos por año de lanzamiento,1963,2.0
Títulos por año de lanzamiento,1964,2.0
Títulos por año de lanzamiento,1965,2.0
Títulos por año de lanzamiento,1966,1.0
Títulos por año de lanzamiento,1967,5.0
Títulos por año de lanzamiento,1968,3.0
Títulos por año de lanzamiento,1969,2.0
Títulos por año de lanzamiento,1970,2.0
Títulos por año de lanzamiento,1971,5.0
Títulos por año de lanzamiento,1972,5.0
Títulos por año de lanzamiento,1973,10.0
Títulos por año de lanzamiento,1974,7.0
Títulos por año de lanzamiento,1975,7.0
Títulos por año de lanzamiento,1976,9.0
Títulos por año de lanzamiento,1977,7.0
Títulos por año de lanzamiento,1978,7.0
Títulos por año de lanzamiento,1979,11.0
Títulos por año de lanzamiento,1980,11.0
Títulos por año de lanzamiento,1981,13.0
Títulos por año de lanzamiento,1982,17.0
Títulos por año de lanzamiento,1983,11.0
Títulos por año de lanzamiento,1984,12.0
Títulos por año de lanzamiento,1985,10.0
Títulos por año de lanzamiento,1986,13.0
Títulos por año de lanzamiento,1987,8.0
Títulos por año de lanzamiento,1988,18.0
Títulos por año de lanzamiento,1989,16.0
Títulos por año de lanzamiento,1990,22.0
Títulos por año de lanzamiento,1991,17.0
Títulos por año de lanzamiento,1992,23.0
Títulos por año de lanzamiento,1993,28.0
Títulos por año de lanzamiento,1994,22.0
Títulos por año de lanzamiento,1995,25.0
Títulos por año de lanzamiento,1996,24.0
Títulos por año de lanzamiento,1997,38.0
Títulos por año de lanzamiento,1998,36.0
Títulos por año de lanzamiento,1999,39.0
Títulos por año de lanzamiento,2000,37.0
Títulos por año de lanzamiento,2001,45.0
Títulos por año de lanzamiento,2002,51.0
Títulos por año de lanzamiento,2003,61.0
Títulos por año de lanzamiento,2004,64.0
Títulos por año de lanzamiento,2005,80.0
Títulos por año de lanzamiento,2006,96.0
Títulos por año de lanzamiento,2007,88.0
Títulos por año de lanzamiento,2008,136.0
Títulos por año de lanzamiento,2009,152.0
Títulos por año de lanzamiento,2010,194.0
Títulos por año de lanzamiento,2011,185.0
Títulos por año de lanzamiento,2012,237.0
Títulos por año de lanzamiento,2013,288.0
Títulos por año de lanzamiento,2014,352.0
Títulos por año de lanzamiento,2015,560.0
Títulos por año de lanzamiento,2016,902.0
Títulos por año de lanzamiento,2017,1032.0
Títulos por año de lanzamiento,2018,1147.0
Títulos por año de lanzamiento,2019,1030.0
Títulos por año de lanzamiento,2020,953.0
Títulos por año de lanzamiento,2021,592.0
Clasificaciones,TV-MA,3207.0
Clasificaciones,TV-14,2160.0
Clasificaciones,TV-PG,863.0
Clasificaciones,R,799.0
Clasificaciones,PG-13,490.0
Clasificaciones,TV-Y7,334.0
Clasificaciones,TV-Y,307.0
Clasificaciones,PG,287.0
Clasificaciones,TV-G,220.0
Clasificaciones,NR,80.0
Clasificaciones,G,41.0
Clasificaciones,Desconocido,7.0
Clasificaciones,TV-Y7-FV,6.0
Clasificaciones,NC-17,3.0
Clasificaciones,UR,3.0
Principales países,United States,3689.0
Principales países,India,1046.0
Principales países,Desconocido,831.0
Principales países,United Kingdom,804.0
Principales países,Canada,445.0
Principales países,France,393.0
Principales países,Japan,318.0
Principales países,Spain,232.0
Principales países,South Korea,231.0
Principales países,Germany,226.0
Principales géneros,International Movies,2752.0
Principales géneros,Dramas,2427.0
Principales géneros,Comedies,1674.0
Principales géneros,International TV Shows,1351.0
Principales géneros,Documentaries,869.0
Principales géneros,Action & Adventure,859.0
Principales géneros,TV Dramas,763.0
Principales géneros,Independent Movies,756.0
Principales géneros,Children & Family Movies,641.0
Principales géneros,Romantic Movies,616.0
Títulos agregados a Netflix por año,2008,2.0
Títulos agregados a Netflix por año,2009,2.0
Títulos agregados a Netflix por año,2010,1.0
Títulos agregados a Netflix por año,2011,13.0
Títulos agregados a Netflix por año,2012,3.0
Títulos agregados a Netflix por año,2013,10.0
Títulos agregados a Netflix por año,2014,23.0
Títulos agregados a Netflix por año,2015,73.0
Títulos agregados a Netflix por año,2016,418.0
Títulos agregados a Netflix por año,2017,1164.0
Títulos agregados a Netflix por año,2018,1625.0
Títulos agregados a Netflix por año,2019,1999.0
Títulos agregados a Netflix por año,2020,1878.0
Títulos agregados a Netflix por año,2021,1498.0
Duración de las películas,count,6131.0
Duración de las películas,mean,99.56499755341706
Duración de las películas,std,28.28950441612769
Duración de las películas,min,3.0
Duración de las películas,25%,87.0
Duración de las películas,50%,98.0
Duración de las películas,75%,114.0
Duración de las películas,max,312.0
Duración de las series,count,2676.0
Duración de las series,mean,1.764947683109118
